k,m,a,t,n,n_symbol_copied,avg_info,n_copies,avg_len,avg_acc,time
12,0,1,0.7,4,copy:,1.659,15862491,1,0.558841,35
12,0,1,0.7,8,copy:,1.63344,15862491,1,0.566525,44
12,0,1,0.8,1,copy:,1.84781,15862491,1,0.502096,22
12,0,1,0.8,4,copy:,1.659,15862491,1,0.558841,34
12,0,1,0.8,8,copy:,1.63344,15862491,1,0.566525,45
12,0,0.1,0.5,1,copy:,2.02165,2556876,7.55195,0.177087,13
12,0,0.1,0.5,4,copy:,1.99995,1877699,10.4201,0.216236,14
12,0,0.1,0.5,8,copy:,1.99487,1803825,10.8704,0.218905,14
12,0,0.1,0.7,1,copy:,1.92755,4885317,3.5816,0.230766,15
12,0,0.1,0.7,4,copy:,1.89227,3900229,4.5306,0.297403,16
12,0,0.1,0.7,8,copy:,1.88139,3762039,4.70737,0.302974,17
12,0,0.1,0.8,1,copy:,1.89488,5807131,2.89028,0.242513,15
12,0,0.1,0.8,4,copy:,1.84715,4708400,3.59094,0.31325,18
12,0,0.1,0.8,8,copy:,1.83217,4553036,3.72123,0.319873,18
12,0,0.01,0.5,1,copy:,2.12819,2556876,7.55195,0.124209,13
12,0,0.01,0.5,4,copy:,2.10948,1877699,10.4201,0.171741,14
12,0,0.01,0.5,8,copy:,2.10181,1803825,10.8704,0.174917,14
12,0,0.01,0.7,1,copy:,2.13635,4885317,3.5816,0.180977,15
12,0,0.01,0.7,4,copy:,2.13192,3900229,4.5306,0.25813,17
12,0,0.01,0.7,8,copy:,2.11755,3762039,4.70737,0.264483,17
12,0,0.01,0.8,1,copy:,2.15002,5807131,2.89028,0.193741,16
12,0,0.01,0.8,4,copy:,2.14271,4708400,3.59094,0.275246,18
12,0,0.01,0.8,8,copy:,2.12444,4553036,3.72123,0.28274,19
12,1,1,0.5,1,copy:,1.93959,1904252,10.4616,0.335711,13
12,1,1,0.5,4,copy:,1.91668,1468715,13.7264,0.3619,14
12,1,1,0.5,8,copy:,1.91338,1414836,14.2721,0.3631,14
12,1,1,0.7,1,copy:,1.78241,3951107,4.61156,0.393819,14
12,1,1,0.7,4,copy:,1.72605,3485482,5.26271,0.440887,16
12,1,1,0.7,8,copy:,1.71681,3385432,5.42787,0.443986,16
12,1,1,0.8,1,copy:,1.82738,8564421,2,0.493063,17
12,1,1,0.8,4,copy:,1.67224,8564421,2,0.561338,25
12,1,1,0.8,8,copy:,1.64484,8564421,2,0.57031,29
12,1,0.1,0.5,1,copy:,2.0098,1904252,10.4616,0.214295,13
12,1,0.1,0.5,4,copy:,1.99516,1468715,13.7264,0.265644,13
12,1,0.1,0.5,8,copy:,1.98979,1414836,14.2721,0.267894,14
12,1,0.1,0.7,1,copy:,1.91386,3799534,4.8249,0.295377,14
12,1,0.1,0.7,4,copy:,1.90017,3323085,5.55721,0.375513,17
12,1,0.1,0.7,8,copy:,1.88823,3221788,5.74224,0.379701,19
12,1,0.1,0.8,1,copy:,1.88151,4500926,3.94666,0.308834,15
12,1,0.1,0.8,4,copy:,1.85726,4002179,4.46055,0.39193,17
12,1,0.1,0.8,8,copy:,1.8413,3895548,4.58959,0.397204,18
12,1,0.01,0.5,1,copy:,2.13536,1904252,10.4616,0.190958,13
12,1,0.01,0.5,4,copy:,2.12114,1468715,13.7264,0.247439,14
12,1,0.01,0.5,8,copy:,2.1119,1414836,14.2721,0.24989,14
12,1,0.01,0.7,1,copy:,2.16908,3799534,4.8249,0.276268,14
12,1,0.01,0.7,4,copy:,2.19602,3323085,5.55721,0.363127,16
12,1,0.01,0.7,8,copy:,2.17743,3221788,5.74224,0.367606,18
12,1,0.01,0.8,1,copy:,2.18985,4500926,3.94666,0.290484,15
12,1,0.01,0.8,4,copy:,2.21799,4002179,4.46055,0.380404,18
12,1,0.01,0.8,8,copy:,2.1955,3895548,4.58959,0.386029,18
14,0,1,0.5,1,copy:,1.90296,696786,21.3321,0.370397,13
14,0,1,0.5,4,copy:,1.89699,617781,24.5286,0.373478,13
14,0,1,0.5,8,copy:,1.89555,605059,25.1755,0.3735,14
14,0,1,0.7,1,copy:,1.79197,8272284,1,0.576246,18
14,0,1,0.7,4,copy:,1.75102,8272284,1,0.599843,23
14,0,1,0.7,8,copy:,1.74711,8272284,1,0.602096,27
